date,rating,comment_,mark?,comment_clean,total_words
2020-12-30,0.0," ""When I was a kid WWE was the bomb! Honestly right now they're awful, I am not sure if it is due to them being PG, or due to me being an actual Pro-Wrestling fan and WWE being a bonafide soap opera. The talent are miserable and misused, they have already seen high profile stars leave for AEW such as Dean Ambrose/Jon Moxley, FTR and others. A 0 rating may be harsh, but come on this is the #1 most watched promotion in the world, with the biggest budget and most money and they are providing nothing for real Pro-Wrestling fans.""",Not a Mark,when i was a kid wwe was the bomb honestly right now theyre awful i am not sure if it is due to them being pg or due to me being an actual prowrestling fan and wwe being a bonafide soap opera the talent are miserable and misused they have already seen high profile stars leave for aew such as dean ambrosejon moxley ftr and others a rating may be harsh but come on this is the most watched promotion in the world with the biggest budget and most money and they are providing nothing for real prowrestling fans,99
2020-12-27,7.0," ""As a kid, WWE was my favorite promotion, but that is because I didn't know about others. Nowadays with promotions like AEW, NJPW, NOAH and more, WWE just doesn't do great things for me. I no longer watch the weekly shows, only PPVs. This rating is purely based off the golden days of WWE, specifically between 1996-2006.""",Mark,as a kid wwe was my favorite promotion but that is because i didnt know about others nowadays with promotions like aew njpw noah and more wwe just doesnt do great things for me i no longer watch the weekly shows only ppvs this rating is purely based off the golden days of wwe specifically between,56
2020-12-13,5.0," ""Im going back through all my older rating of the programs I still follow and adding to them new criteria for grading. QRAE will be my standard, Quality, Realism, Accesibility, Entertainment WWE has been rather hit or miss within the last five years. With star players like John Cena, CM Punk, Batista, Triple H, The Undertaker climbing the ladder we call age we look to our newer stara that are on the rize. With a great many inprovements come a great many lackings. With the WWE Network's creation but a miantained TV contract WWE has been harder to view on a budget or for those without a satellite provider. Thankfully in comparison to other non american promotions there are still some ways to work around them. The quality of WWE's set design hasnt faultered much, the pyro fluctuates and all sound, lighting and camera work is the highest tier for this industry. The announcing is mostly entertaining and informative and with the introduction of Samoa Joe to the announce team things are progressing on the front of commentary. The women's division has never been stronger for the brand as the female athlethes have been partcipating in more types of matches and been more frequent on the card. The men's division is seeming to struggle the spotlight falls on the likes of Roman Reigns and Seth Rollins, accomplished and experienced wrestlers but whose character angles feel dry and not engaging. Athletes that can really book shows like Aleistar Black and Finn Balor are cast aside or overshadowed in lower cards or the NXT Program (which seems to be one of WWEs saving graces). The storys that attempt to build rivalrys or overused by the evident lack of interest in the creative board, often times seeing the same two competitiors fight week after week until PPV comes. I find myself turning off WWE midshow and switiching to different promotions nowadays something I wouldnt have considered two years ago. Drew McIntyre is filling the void left by Brock Lesnar quite nicely and taking one of the main belts in a nice and healthy new direction The 24/7 championship (which is almost an insult compared to the hardcore championship) does actually provide some much needed comedic relief and helps to push some wrestlers that are genuingly top tier athletes that never get the story push they need (like R-Truth). As a final basis WWE has fantastic quality that cant be rivaled by nearly any other promotion. It struggles in the ring with realism with some performers likely due to the fact that they are scared to hurt each other due to lack of standard healthcare Its reasonably easy to catch up on without spending a regular fee And it has the ability to be entertaining with certain wrestlers carrying the program to survival""",Not a Mark,im going back through all my older rating of the programs i still follow and adding to them new criteria for grading qrae will be my standard quality realism accesibility entertainment wwe has been rather hit or miss within the last five years with star players like john cena cm punk batista triple h the undertaker climbing the ladder we call age we look to our newer stara that are on the rize with a great many inprovements come a great many lackings with the wwe networks creation but a miantained tv contract wwe has been harder to view on a budget or for those without a satellite provider thankfully in comparison to other non american promotions there are still some ways to work around them the quality of wwes set design hasnt faultered much the pyro fluctuates and all sound lighting and camera work is the highest tier for this industry the announcing is mostly entertaining and informative and with the introduction of samoa joe to the announce team things are progressing on the front of commentary the womens division has never been stronger for the brand as the female athlethes have been partcipating in more types of matches and been more frequent on the card the mens division is seeming to struggle the spotlight falls on the likes of roman reigns and seth rollins accomplished and experienced wrestlers but whose character angles feel dry and not engaging athletes that can really book shows like aleistar black and finn balor are cast aside or overshadowed in lower cards or the nxt program which seems to be one of wwes saving graces the storys that attempt to build rivalrys or overused by the evident lack of interest in the creative board often times seeing the same two competitiors fight week after week until ppv comes i find myself turning off wwe midshow and switiching to different promotions nowadays something i wouldnt have considered two years ago drew mcintyre is filling the void left by brock lesnar quite nicely and taking one of the main belts in a nice and healthy new direction the championship which is almost an insult compared to the hardcore championship does actually provide some much needed comedic relief and helps to push some wrestlers that are genuingly top tier athletes that never get the story push they need like rtruth as a final basis wwe has fantastic quality that cant be rivaled by nearly any other promotion it struggles in the ring with realism with some performers likely due to the fact that they are scared to hurt each other due to lack of standard healthcare its reasonably easy to catch up on without spending a regular fee and it has the ability to be entertaining with certain wrestlers carrying the program to survival,468
2020-12-04,7.0," ""It's hard to rate this company, because I used to love this company and now I'm ashamed of it. WWF years were absolutely gold. The 80s and 90s will always be in my heart. Early 2000s and that whole Attitude Era was phenomenal. All these positive feelings lasted till years 2010s. After that the wrestling quality started to go downfall, greatest stars retired or left, Vince was giving more management power to his daughter and new talents were nowhere close to the old guys. Currently, their PPVs are still worth watching, but these godawful TV shows called SmackDown and RAW are absolutely atrocious. Their only product worth watching and being broadcasted every week is NXT. This company went a tremendous change throughout the years of their activity. I watch this promotion since the very beginning in 2010, when it was more of a tv show than a wrestling company. Some rookies were competing with each other doing obstacle course or some other ridiculous spots. The matches were usually 2-3 minutes long and boring as hell, but I loved their talking sequences and other things we love other shows on TV. After couple of years it transferred into a legit wrestling promotion with actual wrestling. They had ups and downs and after 10 years, NXT is the only WWE's promotion currently worth watching. It has better wrestling quality, better roster, it's less cringy and it's not completely rotten with mainstream trends like SmackDown or RAW.""",Mark,its hard to rate this company because i used to love this company and now im ashamed of it wwf years were absolutely gold the and will always be in my heart early and that whole attitude era was phenomenal all these positive feelings lasted till years after that the wrestling quality started to go downfall greatest stars retired or left vince was giving more management power to his daughter and new talents were nowhere close to the old guys currently their ppvs are still worth watching but these godawful tv shows called smackdown and raw are absolutely atrocious their only product worth watching and being broadcasted every week is nxt this company went a tremendous change throughout the years of their activity i watch this promotion since the very beginning in when it was more of a tv show than a wrestling company some rookies were competing with each other doing obstacle course or some other ridiculous spots the matches were usually minutes long and boring as hell but i loved their talking sequences and other things we love other shows on tv after couple of years it transferred into a legit wrestling promotion with actual wrestling they had ups and downs and after years nxt is the only wwes promotion currently worth watching it has better wrestling quality better roster its less cringy and its not completely rotten with mainstream trends like smackdown or raw,237
2020-11-28,0.0," ""Years ago I would have never rated WWE this low, but there's one thing they do that is completely unforgivable: camera shaking. I literally cannot watch their programming without serious feelings of nausea. There was one scene where the camera man literally lifted and lowered the camera with every mounted punch over and over and over in such a way that I had to turn it off and barely watch again. I try to catch some clips here and there, but I have to pray I don't get sick. I know I am likely more sensitive to this than the average person, but physically being unable to watch their product has been greatly disappointing. The easiest to watch is NJPW by far... that's how all pro wrestling should be shot. AEW has a few moments where I'm uncomfortable, but it's not as bad or for as long (although I wish they'd cut down on the number of camera cuts as well). Pro wrestling is not an action movie.""",Not a Mark,years ago i would have never rated wwe this low but theres one thing they do that is completely unforgivable camera shaking i literally cannot watch their programming without serious feelings of nausea there was one scene where the camera man literally lifted and lowered the camera with every mounted punch over and over and over in such a way that i had to turn it off and barely watch again i try to catch some clips here and there but i have to pray i dont get sick i know i am likely more sensitive to this than the average person but physically being unable to watch their product has been greatly disappointing the easiest to watch is njpw by far thats how all pro wrestling should be shot aew has a few moments where im uncomfortable but its not as bad or for as long although i wish theyd cut down on the number of camera cuts as well pro wrestling is not an action movie,168
2020-11-09,4.0," ""While the company has a great history the state its in right now while not terrible is far from its golden age.""",Not a Mark,while the company has a great history the state its in right now while not terrible is far from its golden age,22
2020-11-04,8.0," ""If I were to rate WWE in the 90s to 2008 then I would give it a ten, but there has been a drop of quality in storylines and how they treat their wrestlers. It feels like Vince McMahon is out of touch with the audience and causes more trouble than good in some areas such as making a deal with Saudi Arabia that most wrestlers are uncomfortable with and having strict rules on the wrestlers' social media accounts such as Twitch and Cameo. However, WWE have some positives such as NXT, great PPV matches even if the storylines are bad, and a great roster. Its a juggernaut of the wrestling industry and recently there's been more negatives than positives. However, I don't think its the worst company in the world and I am optimistic that it can become better but for now, its a good company that is way too far from perfect.""",Mark,if i were to rate wwe in the to then i would give it a ten but there has been a drop of quality in storylines and how they treat their wrestlers it feels like vince mcmahon is out of touch with the audience and causes more trouble than good in some areas such as making a deal with saudi arabia that most wrestlers are uncomfortable with and having strict rules on the wrestlers social media accounts such as twitch and cameo however wwe have some positives such as nxt great ppv matches even if the storylines are bad and a great roster its a juggernaut of the wrestling industry and recently theres been more negatives than positives however i dont think its the worst company in the world and i am optimistic that it can become better but for now its a good company that is way too far from perfect,152
2020-10-31,2.0," ""So, ok, this is the company that is supposed to represent pro wrestling to the world. But, should they? I have not watched WWE programming for a while now, but isn? t this the company that refers to pro wresting as sports entertainment? Isn? t this the company that has wrestlers who have been accused of sexual misconduct under contract? Isn? t this the company that is booked by a senile 75 year-old man who does not watch other wrestling than his own product and re-writes his content while its on-air? So yeah, this company is the biggest in the world, and you may think that is because of wrestlers like Ricochet, Nakamura, Castagnoli, Steen, Generico, Tommy End, Keith Lee, War Raiders, Samoa Joe, KUSHIDA, Riddle, Hojo and many more, but not, its led by world-class wrestler such as Braun Strowman, Bray Wyatt, Nia Jax and Bobby Lashley. The company that pushes the same wrestlers over and over and over again Orton, Cena, Goldberg, Lesnar, Reigns, Rollins, Charlotte and others have sustained the core of this company for the past 20 years. How are they going to advance into the future if your current stars are the same that the ones you had well over a decade ago, if the talent that you do not even have under contract doesn? t wrestle for 6 months and if your storylines are always the same with different wrestlers. A promotion that blatantly ignores wrestlers past in other companies, that makes world-class talent to train in the Performance Center so they can wrestle the (not so) critically acclaimed WWE style of wrestling, so they can have almost 50 matches a month. And if you still are not convinced that WWE is not the company that should represent pro wrestling in the world here are some other reasons: most of the wrestlers who either have been fired or demanded their release have explained stories that will make you not want to work for them, they do not let wrestlers evolve on their characters, cut their own promos and they have JBL under contract, someone who harassed a working partner of his. So yeah, I could still go on but I do not have enough space in 3000 characters to detail why they are not the apropiate promotion to represent this beautiful sport. I will give them this two points because they got me in pro wrestling but nothing more.""",Not a Mark,so ok this is the company that is supposed to represent pro wrestling to the world but should they i have not watched wwe programming for a while now but isn t this the company that refers to pro wresting as sports entertainment isn t this the company that has wrestlers who have been accused of sexual misconduct under contract isn t this the company that is booked by a senile yearold man who does not watch other wrestling than his own product and rewrites his content while its onair so yeah this company is the biggest in the world and you may think that is because of wrestlers like ricochet nakamura castagnoli steen generico tommy end keith lee war raiders samoa joe kushida riddle hojo and many more but not its led by worldclass wrestler such as braun strowman bray wyatt nia jax and bobby lashley the company that pushes the same wrestlers over and over and over again orton cena goldberg lesnar reigns rollins charlotte and others have sustained the core of this company for the past years how are they going to advance into the future if your current stars are the same that the ones you had well over a decade ago if the talent that you do not even have under contract doesn t wrestle for months and if your storylines are always the same with different wrestlers a promotion that blatantly ignores wrestlers past in other companies that makes worldclass talent to train in the performance center so they can wrestle the not so critically acclaimed wwe style of wrestling so they can have almost matches a month and if you still are not convinced that wwe is not the company that should represent pro wrestling in the world here are some other reasons most of the wrestlers who either have been fired or demanded their release have explained stories that will make you not want to work for them they do not let wrestlers evolve on their characters cut their own promos and they have jbl under contract someone who harassed a working partner of his so yeah i could still go on but i do not have enough space in characters to detail why they are not the apropiate promotion to represent this beautiful sport i will give them this two points because they got me in pro wrestling but nothing more,400
2020-10-25,5.0," ""Half of my 5 points for this promotion are for their historical success as a company. They've built guys like Cena, Austin, Taker, Hogan, Bret, Rock and Triple H. Their financial banking was worth billions, as most of their shows used to be successful. The other 0 is for their shitty booking. Not going to lie, Triple H did a fine job on booking the NXT roster but the booking in the main roster is atrocious. I don't know, RAW is the must-see show but they've produced shitty storylines and making terrible decisions while Smackdown is the weaker show but has been doing good. Their creative team is a mess. Their product continues to get worse every year that fans started to engage more on AEW, Impact and started prioritizing NXT over main roster. This was a hard one to rate but I chose 5 because I'd love to separate current era from the other more successful eras.""",Not a Mark,half of my points for this promotion are for their historical success as a company theyve built guys like cena austin taker hogan bret rock and triple h their financial banking was worth billions as most of their shows used to be successful the other is for their shitty booking not going to lie triple h did a fine job on booking the nxt roster but the booking in the main roster is atrocious i dont know raw is the mustsee show but theyve produced shitty storylines and making terrible decisions while smackdown is the weaker show but has been doing good their creative team is a mess their product continues to get worse every year that fans started to engage more on aew impact and started prioritizing nxt over main roster this was a hard one to rate but i chose because id love to separate current era from the other more successful eras,155
2020-10-21,3.0," ""I give them a 3 rating and I think I am being more than fair. This company used to be on top of the world, delivering big shows week after week, but it's been a couple of years now that it's nothing but a joke for the sport. The wrestlers who work for that company do not deserve the treatment they are given and it is sad to see that talent is simply wasted.""",Not a Mark,i give them a rating and i think i am being more than fair this company used to be on top of the world delivering big shows week after week but its been a couple of years now that its nothing but a joke for the sport the wrestlers who work for that company do not deserve the treatment they are given and it is sad to see that talent is simply wasted,73
2020-10-17,5.0," ""I was introduced to pro wrestling because of WWE. Nothing of what i've loved back then is here now, just some nostalgia from back then et that's it. There is no more the feeling of great matches and great PPV, wich is funny because WWE has actually yhe best roster in the world and maybe one of the best in History""",Not a Mark,i was introduced to pro wrestling because of wwe nothing of what ive loved back then is here now just some nostalgia from back then et thats it there is no more the feeling of great matches and great ppv wich is funny because wwe has actually yhe best roster in the world and maybe one of the best in history,61
2020-10-14,9.0," ""Even if some storylines leave something to be desired (like Lana and Bobby Lashley's wedding, the storyline between Otis and Mandy Rose is a thousand times better), the WWE still manages to surprise me, and sometimes proposes excellent things (like The Fiend, The Firefly Fun House Match or The Hurt Business). And I think that if they listened more to their fans and Mr. McMahon gave a chance to some jobbers to at least get up in the middle of the map (like Ricochet for example), they could do great things.""",Mark,even if some storylines leave something to be desired like lana and bobby lashleys wedding the storyline between otis and mandy rose is a thousand times better the wwe still manages to surprise me and sometimes proposes excellent things like the fiend the firefly fun house match or the hurt business and i think that if they listened more to their fans and mr mcmahon gave a chance to some jobbers to at least get up in the middle of the map like ricochet for example they could do great things,91
2020-10-13,6.0," ""WWE truly is the Hollywood of professional wrestling. Just as Hollywood produced both The Godfather and Transformers, WWE is capable of showcasing the best and worst that wrestling has to offer. Right now the main roster gets a 3 and NXT a 6.""",Not a Mark,wwe truly is the hollywood of professional wrestling just as hollywood produced both the godfather and transformers wwe is capable of showcasing the best and worst that wrestling has to offer right now the main roster gets a and nxt a,41
2020-10-10,5.0," ""Probably the worst creative team (Vince McMahon and friends) in Pro Wrestling today. There is no logic. Only make money.""",Not a Mark,probably the worst creative team vince mcmahon and friends in pro wrestling today there is no logic only make money,20
2020-10-06,8.0,"""The current product is not intoxicating. Matches are not very good except for a few exceptions. Stories are not at all not told. You have so great potential in the rust, you only have to use it. Hope you get the curve again.""",Mark,the current product is not intoxicating matches are not very good except for a few exceptions stories are not at all not told you have so great potential in the rust you only have to use it hope you get the curve again,43
2020-09-28,3.0," ""The most frustrating company to watch. It's completely stacked with some of the most talented wrestlers in the world and WWE can't manage to make anyone give a damn about any of them. Due to their focus of brand over individual star, no one is over and the brand is stale as a result. The company is more beholden to keeping shareholders happy by artificially bloating numbers (be it the number of PPVs, profits via firing a sizable chunk of their staff, WWE Network subs, etc) then actually trying to put on a competent show. Gimmick matches are no longer special, now designated to happen at an annual PPV named after the gimmick match; Hell in a Cell used to be this special blow off to a heated feud and now it's just something wrestlers do because it's October. They've trotted out ladder matches so often that the novelty of watching wrestlers crash through ladders has lost its luster. The camera work is godawful and the constant cuts don't help at all. Nearly everyone I know stopped watching once the Saudi Arabia shows started; I held out a little longer but I'm not enjoying anything they're doing so I'm pretty much done with the company. It sucks because when WWE gets it right, it's phenomenal but the company feels like it's been in a holding pattern for the past year. NXT used to be a bright spot in the company but now it feels exactly the same as Raw and Smackdown. What an absolute shame.""",Not a Mark,the most frustrating company to watch its completely stacked with some of the most talented wrestlers in the world and wwe cant manage to make anyone give a damn about any of them due to their focus of brand over individual star no one is over and the brand is stale as a result the company is more beholden to keeping shareholders happy by artificially bloating numbers be it the number of ppvs profits via firing a sizable chunk of their staff wwe network subs etc then actually trying to put on a competent show gimmick matches are no longer special now designated to happen at an annual ppv named after the gimmick match hell in a cell used to be this special blow off to a heated feud and now its just something wrestlers do because its october theyve trotted out ladder matches so often that the novelty of watching wrestlers crash through ladders has lost its luster the camera work is godawful and the constant cuts dont help at all nearly everyone i know stopped watching once the saudi arabia shows started i held out a little longer but im not enjoying anything theyre doing so im pretty much done with the company it sucks because when wwe gets it right its phenomenal but the company feels like its been in a holding pattern for the past year nxt used to be a bright spot in the company but now it feels exactly the same as raw and smackdown what an absolute shame,255
2020-09-27,5.0,"""A legendary Company and the world's most famous wrestling company in the world. It has produced many grandiose stars and moments and yet has been continuously down since the mid-2000s. There was always hopeful phases that were mostly driven against the tree, From a company with such a history and history, I just expect more than to be almost exclusively disappointed. In recent years, you have also missed new stars and mostly put on Altstars. Through the history there is still 5 through the historyPoints. The current version of recent years would have earned less. """,Not a Mark,a legendary company and the worlds most famous wrestling company in the world it has produced many grandiose stars and moments and yet has been continuously down since the there was always hopeful phases that were mostly driven against the tree from a company with such a history and history i just expect more than to be almost exclusively disappointed in recent years you have also missed new stars and mostly put on altstars through the history there is still through the historypoints the current version of recent years would have earned less,93
2020-09-16,2.0," ""WWE is what's wrong with today's wrestling. Apart from NXT (which wasn't that interesting for me lately), most of the matches, storylines and characters are boring, bland and subpar at best. Very poor booking decisions, holding back wrestlers that could become huge stars, god forbid if they get over on their own. Definitely the most important company in the history as it helped wrestling reach the mainstream, a lot of classic feuds, characters, matches, especially in Ruthless Aggression era, although getting worse and worse since around 2005. I'm thankful to DubDubE for introducing me to pro wrestling, unfortunately their product becomes more dull every year.""",Not a Mark,wwe is whats wrong with todays wrestling apart from nxt which wasnt that interesting for me lately most of the matches storylines and characters are boring bland and subpar at best very poor booking decisions holding back wrestlers that could become huge stars god forbid if they get over on their own definitely the most important company in the history as it helped wrestling reach the mainstream a lot of classic feuds characters matches especially in ruthless aggression era although getting worse and worse since around im thankful to dubdube for introducing me to pro wrestling unfortunately their product becomes more dull every year,104
2020-09-15,8.0," ""WWE has given us some of the worst matches and pushed some of the worst wrestlers of all time on us, but it's important to remember the promotion's impact on the sport and the overall classics it's given as well. It's a shame how it's been recently, but that doesn't bring my rating down too much compared to others. My favorite era would be the late 90's to early 2000's as most of my favorite matches were performed during those years and I also liked the presentation of them better,""",Mark,wwe has given us some of the worst matches and pushed some of the worst wrestlers of all time on us but its important to remember the promotions impact on the sport and the overall classics its given as well its a shame how its been recently but that doesnt bring my rating down too much compared to others my favorite era would be the late to early as most of my favorite matches were performed during those years and i also liked the presentation of them better,88
2020-09-11,2.0," ""Old, stale, out of the loop and even unfair to its employees (who are not even actually employed). A company that does everything for the stockholders and doesn't actually care about putting out a nice, enjoyable product. The 2 points are for NXT which is still quite ok, even though it got worse when it decided to hotshot matches in order to compete with the rival program, instead of focusing on their own storylines.""",Not a Mark,old stale out of the loop and even unfair to its employees who are not even actually employed a company that does everything for the stockholders and doesnt actually care about putting out a nice enjoyable product the points are for nxt which is still quite ok even though it got worse when it decided to hotshot matches in order to compete with the rival program instead of focusing on their own storylines,73
2020-08-12,10.0," ""WWE is the company which made me fall in love with wrestling since I started watching when I was child and I will forever love it. But I won? t gonna lie, I struggle to watch the current product since the end of 2018, I only catch on some contents, matches I want to see, I can? t watch weekly show anymore, even PPV I only watch some matches. There? re big creative issues, many nonsenses booking decisions. For example, Ricochet winning the US belt but losing to Aj the night after, he only appeared weak the title means nothing, there? s so much thing like this one. Nonetheless I hope especially during what we? ve been through this year, they? ll get back on track. Whether we admit it or not, Vince is the one who made us love pro-wrestling for many of us.""",Mark,wwe is the company which made me fall in love with wrestling since i started watching when i was child and i will forever love it but i won t gonna lie i struggle to watch the current product since the end of i only catch on some contents matches i want to see i can t watch weekly show anymore even ppv i only watch some matches there re big creative issues many nonsenses booking decisions for example ricochet winning the us belt but losing to aj the night after he only appeared weak the title means nothing there s so much thing like this one nonetheless i hope especially during what we ve been through this year they ll get back on track whether we admit it or not vince is the one who made us love prowrestling for many of us,144
2020-07-22,7.0," ""Nobody can deny the influence and popularity that WWE had not only in professional wrestling, but pop culture as well. So much so that many people use ""WWE"" to refer to wrestling in general. Me and WWE have a love/hate relationship. On one hand, many of my favorite wrestlers and many of my favorite matches are in WWE, and I have found memories of watching Smackdown every Friday Night when I was eight. On the other hand, so much of the stuff they do (booking wise and business wise) is horrible. The best way I can describe WWE's booking is that they throw poop at a wall and see what sticks. But when it sticks, it sticks.""",Mark,nobody can deny the influence and popularity that wwe had not only in professional wrestling but pop culture as well so much so that many people use wwe to refer to wrestling in general me and wwe have a lovehate relationship on one hand many of my favorite wrestlers and many of my favorite matches are in wwe and i have found memories of watching smackdown every friday night when i was eight on the other hand so much of the stuff they do booking wise and business wise is horrible the best way i can describe wwes booking is that they throw poop at a wall and see what sticks but when it sticks it sticks,117
2020-07-13,9.0," ""How on earth do I fairly review the WWE? Do I focus heavily on the questionable, childish booking that has become more prominent over the last ten years or so, or do I focus more on the company's prior 50 years of history? Do I focus more on the memories this company gave me? And the nightmares I got from watching a toothless Mankind smile his bloody gums at me after falling through a 20-foot structure, or from watching a 6'11 deadman set his co-workers ablaze? Perhaps I should think about the Golden Era, where Hulkamania was running wild and thousands of fans were packing into the Silverdome and the millions were watching around the world as the All American Hogan slammed a 500-pound giant. It's an impossible task. What stays consistent, however, is that in WWE, when it rains it pours, and when it shines, it doesn't get brighter. When WWE does good, whether that's a Hogan slamming an Andre or a Stone Cold giving the finger to the boss or more recently a Daniel Bryan fighting his way into the main event of Wrestlemania, it does great. Those moments feel so fulfilling to watch happen and no other wrestling company can fight that feeling. However, WWE is no stranger to dropping the ball and missing golden opportunities whether it's to create a five-star classic or to build a new star, WWE's booking has been questionable to the hardcore fans for years now, often to the point of sheer boredom from audiences. But, as they say, absence makes the heart grow fonder, and it makes those special moments whether it's a Daniel Bryan/Authority or Kofi Kingston/Daniel Bryan rivalry feel so much more special. But fans like myself feel so much more frustrated to see WWE drop the ball on a 'Rusev Day' or an NXT call up which, at this point, has become almost humorous as WWE has such a consistent history of burying their popular stars from their third brand. Another problem 2020 WWE faces is its sheer lack of ability to create new stars, almost all of the current stars of WWE found their success in other promotions like TNA or NJPW or ROH, most NXT stars come from Evolve instead of being Performance Centre homegrowns. And WWE also has a frustrating habit of putting its older, retired icons over their younger upcoming stars. The fact that the cover star of the upcoming WWE 2K Battlegrounds is Stone Cold Steve Austin, a man who hasn't wrestled since 2003, really speaks on WWE's star building credentials. But if we look away from today's WWE, you see all the timeless moments it has created over the last sixty years, some I've already named. WWE's work in the 80s and 90s made wrestling what it is today and for that, I can't hate this company, All the memories of the Attitude Era and the poorly aged women's segments or a bloody Steve Austin in a Sharpshooter, they're all timeless and forever live on on the WWE Network, if I was writing this review fifteen years ago I would have no choice to give WWE a solid ten, but alas, they're last ten years stop me from that. 8. 5""",Mark,how on earth do i fairly review the wwe do i focus heavily on the questionable childish booking that has become more prominent over the last ten years or so or do i focus more on the companys prior years of history do i focus more on the memories this company gave me and the nightmares i got from watching a toothless mankind smile his bloody gums at me after falling through a structure or from watching a deadman set his coworkers ablaze perhaps i should think about the golden era where hulkamania was running wild and thousands of fans were packing into the silverdome and the millions were watching around the world as the all american hogan slammed a giant its an impossible task what stays consistent however is that in wwe when it rains it pours and when it shines it doesnt get brighter when wwe does good whether thats a hogan slamming an andre or a stone cold giving the finger to the boss or more recently a daniel bryan fighting his way into the main event of wrestlemania it does great those moments feel so fulfilling to watch happen and no other wrestling company can fight that feeling however wwe is no stranger to dropping the ball and missing golden opportunities whether its to create a fivestar classic or to build a new star wwes booking has been questionable to the hardcore fans for years now often to the point of sheer boredom from audiences but as they say absence makes the heart grow fonder and it makes those special moments whether its a daniel bryanauthority or kofi kingstondaniel bryan rivalry feel so much more special but fans like myself feel so much more frustrated to see wwe drop the ball on a rusev day or an nxt call up which at this point has become almost humorous as wwe has such a consistent history of burying their popular stars from their third brand another problem wwe faces is its sheer lack of ability to create new stars almost all of the current stars of wwe found their success in other promotions like tna or njpw or roh most nxt stars come from evolve instead of being performance centre homegrowns and wwe also has a frustrating habit of putting its older retired icons over their younger upcoming stars the fact that the cover star of the upcoming wwe battlegrounds is stone cold steve austin a man who hasnt wrestled since really speaks on wwes star building credentials but if we look away from todays wwe you see all the timeless moments it has created over the last sixty years some ive already named wwes work in the and made wrestling what it is today and for that i cant hate this company all the memories of the attitude era and the poorly aged womens segments or a bloody steve austin in a sharpshooter theyre all timeless and forever live on on the wwe network if i was writing this review fifteen years ago i would have no choice to give wwe a solid ten but alas theyre last ten years stop me from that,528
2020-07-02,6.0," ""Apart from the blast that NXT has been delivering since 2015-16. The whole company produces nothing but storylines that will embarrass you as a fan. The 3 PPV matches of heel vs face has been so overused. Matches are so repetitive despite having the best roster in all of prowrestling. A match that you saw on PPV, will eventually be repeated in RAW/SD. The PPV matches barely delivered. They dont develop talents (considering how much resources they have), but instead buy the top stars from other big promotions. They dont respect the business and thats clear from the fact that they consider themselves as a SPORTS ENTERTAINMENT company and the word 'pro-wrestling' is banned. The matches and storylines are worth watching only on RTWM and Summerslam.""",Not a Mark,apart from the blast that nxt has been delivering since the whole company produces nothing but storylines that will embarrass you as a fan the ppv matches of heel vs face has been so overused matches are so repetitive despite having the best roster in all of prowrestling a match that you saw on ppv will eventually be repeated in rawsd the ppv matches barely delivered they dont develop talents considering how much resources they have but instead buy the top stars from other big promotions they dont respect the business and thats clear from the fact that they consider themselves as a sports entertainment company and the word prowrestling is banned the matches and storylines are worth watching only on rtwm and summerslam,124
2020-07-01,5.0," ""Aside from NXT, everything else in this company sucks. Creative, ownership, match quality, etc. They look more worrued with the brand exposure than wrestling by now. My grade isn't lower because of some great moments in its past, which by the way, the nostalgia is the only thing that still brings ratings for them, literally.""",Not a Mark,aside from nxt everything else in this company sucks creative ownership match quality etc they look more worrued with the brand exposure than wrestling by now my grade isnt lower because of some great moments in its past which by the way the nostalgia is the only thing that still brings ratings for them literally,55
2020-06-21,2.0," ""WWE is by far not what it was during their best days anymore. The WWE ""Style"" basically became synonymous with everything that is bad in wrestling. The stories are more miss than hit all the time, everything is so heavily scripted and ""clean"" that it feels like it lacks every emotion possible and nobody in WWE is even able to build a real character nowadays.""",Not a Mark,wwe is by far not what it was during their best days anymore the wwe style basically became synonymous with everything that is bad in wrestling the stories are more miss than hit all the time everything is so heavily scripted and clean that it feels like it lacks every emotion possible and nobody in wwe is even able to build a real character nowadays,65
